 INFO  Accepting connections at http://localhost:5501
 HTTP  8/8/2026 12:34:42 pm ::1 GET /servehub
 HTTP  8/8/2026 12:34:42 pm ::1 Returned 200 in 24 ms
 HTTP  8/8/2026 12:35:13 pm ::1 GET /servehub
 HTTP  8/8/2026 12:35:13 pm ::1 Returned 200 in 6 ms
 HTTP  8/8/2026 12:35:17 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:35:17 pm 127.0.0.1 Returned 200 in 7 ms
 HTTP  8/8/2026 12:35:18 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:35:18 pm 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/8/2026 12:37:47 pm ::1 GET /manifest.webmanifest
 HTTP  8/8/2026 12:37:47 pm ::1 Returned 200 in 11 ms
 HTTP  8/8/2026 12:37:47 pm ::1 GET /sw.js
 HTTP  8/8/2026 12:37:47 pm ::1 Returned 200 in 4 ms
 HTTP  8/8/2026 12:37:47 pm ::1 GET /icons/icon-192.png
 HTTP  8/8/2026 12:37:47 pm ::1 Returned 200 in 8 ms
 HTTP  8/8/2026 12:37:47 pm ::1 GET /icons/icon-512.png
 HTTP  8/8/2026 12:37:47 pm ::1 Returned 200 in 4 ms
 HTTP  8/8/2026 12:37:47 pm ::1 GET /icons/maskable-512.png
 HTTP  8/8/2026 12:37:47 pm ::1 Returned 200 in 6 ms
 HTTP  8/8/2026 12:37:47 pm ::1 GET /icons/apple-touch-icon.png
 HTTP  8/8/2026 12:37:47 pm ::1 Returned 200 in 4 ms
 HTTP  8/8/2026 12:37:48 pm ::1 GET /servehub
 HTTP  8/8/2026 12:37:48 pm ::1 Returned 200 in 7 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /sw.js
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /servehub.html
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 301 in 2 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 6 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /manifest.webmanifest
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /icons/icon-192.png
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /icons/icon-512.png
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /icons/maskable-512.png
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 GET /icons/apple-touch-icon.png
 HTTP  8/8/2026 12:37:49 pm 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/8/2026 12:37:52 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:37:52 pm 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/8/2026 12:37:54 pm 127.0.0.1 GET /sw.js
 HTTP  8/8/2026 12:37:54 pm 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/8/2026 12:40:57 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:40:57 pm 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /sw.js
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 6 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /manifest.webmanifest
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 5 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 5 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /icons/icon-192.png
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /icons/icon-512.png
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 6 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /icons/maskable-512.png
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 GET /icons/apple-touch-icon.png
 HTTP  8/8/2026 12:40:59 pm 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/8/2026 12:41:18 pm ::1 GET /servehub
 HTTP  8/8/2026 12:41:18 pm ::1 Returned 200 in 3 ms
 HTTP  8/8/2026 12:41:18 pm ::1 GET /sw.js
 HTTP  8/8/2026 12:41:18 pm ::1 Returned 200 in 3 ms
 HTTP  8/8/2026 12:45:36 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:45:36 pm 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/8/2026 12:45:38 pm 127.0.0.1 GET /sw.js
 HTTP  8/8/2026 12:45:38 pm 127.0.0.1 Returned 304 in 5 ms
 HTTP  8/8/2026 12:46:03 pm 127.0.0.1 HEAD /servehub.apk
 HTTP  8/8/2026 12:46:03 pm 127.0.0.1 Returned 404 in 9 ms
 HTTP  8/8/2026 12:48:23 pm ::1 GET /servehub
 HTTP  8/8/2026 12:48:23 pm ::1 Returned 200 in 6 ms
 HTTP  8/8/2026 12:48:27 pm 127.0.0.1 GET /servehub
 HTTP  8/8/2026 12:48:27 pm 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/8/2026 12:48:30 pm 127.0.0.1 GET /sw.js
 HTTP  8/8/2026 12:48:30 pm 127.0.0.1 Returned 304 in 7 ms
 HTTP  8/8/2026 12:48:45 pm 127.0.0.1 HEAD /servehub.apk
 HTTP  8/8/2026 12:48:45 pm 127.0.0.1 Returned 404 in 5 ms
